step,mloss,gloss,loss
25100.0,0.997,0.2172,1.2142
25200.0,0.9904,0.2222,1.2126
25300.0,0.9911,0.2211,1.2122
25400.0,0.9628,0.2162,1.179
25500.0,0.9692,0.2118,1.181
25600.0,0.9846,0.2138,1.1984
25700.0,0.9879,0.2131,1.201
25800.0,0.9676,0.2135,1.1811
25900.0,0.9576,0.2106,1.1682000000000001
26000.0,0.9917,0.2154,1.2071
26100.0,0.9613,0.2161,1.1774
26200.0,0.9865,0.2124,1.1989
26300.0,0.9794,0.2136,1.193
26400.0,0.9637,0.2107,1.1743999999999999
26500.0,0.9721,0.2139,1.186
26600.0,0.9775,0.2135,1.191
26700.0,0.9742,0.2118,1.186
26800.0,0.9781,0.2154,1.1935
26900.0,0.9902,0.2122,1.2024
27000.0,0.9901,0.2184,1.2085
27100.0,0.9781,0.2103,1.1884
27200.0,0.9548,0.2125,1.1673
27300.0,0.9751,0.209,1.1841
27400.0,0.9765,0.21,1.1865
27500.0,0.9774,0.2139,1.1913
27600.0,0.9691,0.2197,1.1888
27700.0,0.9628,0.2098,1.1726
27800.0,0.9948,0.2143,1.2091
27900.0,0.965,0.2113,1.1763
28000.0,0.979,0.2062,1.1852
28100.0,0.9747,0.2069,1.1816
28200.0,0.9618,0.2114,1.1732
28300.0,0.9667,0.2126,1.1793
28400.0,0.9607,0.2131,1.1738
28500.0,0.9716,0.2113,1.1829
28600.0,0.9819,0.2092,1.1911
28700.0,0.9744,0.2076,1.182
28800.0,0.9699,0.208,1.1779
28900.0,0.9508,0.2089,1.1597
29000.0,0.9834,0.2138,1.1972
29100.0,0.9681,0.2081,1.1762
29200.0,0.9424,0.2014,1.1438
29300.0,0.9614,0.2123,1.1737
29400.0,0.9692,0.2028,1.172
29500.0,0.9779,0.211,1.1889
29600.0,0.9572,0.2061,1.1633
29700.0,0.9798,0.2102,1.19
29800.0,0.9568,0.2112,1.168
29900.0,0.9733,0.2053,1.1786
30000.0,0.9858,0.2087,1.1945000000000001
